flow_id,firstIp,secondIp,firstPort,secondPort,fwd_count,bwd_count,N_IN_Conn_P_DstIP,TnP_PDstIP,Srate,Drate,Dur,Bytes,proto_number
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,2,10,1.181133518088863,0.0,5.079866,6396,17
64330,10.0.3.3,10.0.5.5,58176,5001,4,0,2,10,0.6626934878602008,0.0,6.035973,232,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,2,9,1.183138151689748,0.0,5.071259,6396,17
56830,10.0.4.4,10.0.5.5,36863,80,3,0,2,9,0.33271208593287754,0.0,9.016805,159,17
64330,10.0.3.3,10.0.5.5,58176,5001,4,0,2,10,0.6633907326636515,0.0,6.029629,232,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,2,10,1.1803966801736836,0.0,5.083037,6396,17
56830,10.0.4.4,10.0.5.5,36863,80,3,0,3,13,0.4958617035097422,0.0,6.050074,159,17
64330,10.0.3.3,10.0.5.5,58176,5001,4,0,3,13,0.662478038853012,0.0,6.037936,232,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,3,13,1.1774940845640927,0.0,5.095567,6396,17
56830,10.0.4.4,10.0.5.5,36863,80,3,0,1,3,0.49879283819941767,0.0,6.014521,159,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,1,6,1.1833166551424772,0.0,5.070494,6396,17
64330,10.0.3.3,10.0.5.5,58176,5001,4,0,1,4,0.6585887463977254,0.0,6.073593,232,17
45458,10.0.1.1,10.0.5.5,51836,9999,1006,0,4,1372,200.81423585292654,0.0,5.009605,1523084,17
51878,10.0.1.1,10.0.5.5,0,0,357,0,4,1372,70.01611743566068,0.0,5.098826,529554,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,4,1372,1.1766397013531553,0.0,5.099267,6396,17
56830,10.0.4.4,10.0.5.5,36863,80,3,0,4,1372,0.4979346500606568,0.0,6.024887,159,17
45458,10.0.1.1,10.0.5.5,51836,9999,293,0,3,331,58.54776368524003,0.0,5.004461,443602,17
64330,10.0.3.3,10.0.5.5,58176,5001,4,0,3,331,0.6638986518873975,0.0,6.025016,232,17
51878,10.0.1.1,10.0.5.5,0,0,34,0,3,331,6.761689618956914,0.0,5.028329,48740,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,1,6,1.1816322358727005,0.0,5.077722,6396,17
45458,10.0.1.1,10.0.5.5,51836,9999,344,0,5,658,68.63103040314745,0.0,5.01231,520816,17
51878,10.0.1.1,10.0.5.5,0,0,50,0,5,658,9.69621186455633,0.0,5.156653,67492,17
64330,10.0.3.3,10.0.5.5,58176,5001,4,0,5,658,0.6650535792102921,0.0,6.014553,232,17
56830,10.0.4.4,10.0.5.5,36863,80,3,0,5,658,0.4950777717671669,0.0,6.059654,159,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,5,658,1.1717450095380044,0.0,5.120568,6396,17
45458,10.0.1.1,10.0.5.5,51836,9999,251,0,5,658,50.06979849599102,0.0,5.013002,380014,17
51878,10.0.1.1,10.0.5.5,0,0,27,0,3,246,4.77470974185797,0.0,5.654794,35406,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,3,246,1.1753558438790503,0.0,5.104837,6396,17
45458,10.0.1.1,10.0.5.5,51836,9999,213,0,3,246,42.51202561419399,0.0,5.010347,322482,17
64330,10.0.3.3,10.0.5.5,58176,5001,4,0,4,235,0.6627409208221765,0.0,6.035541,232,17
51878,10.0.1.1,10.0.5.5,0,0,30,0,4,235,4.719691244091734,0.0,6.356348,42684,17
45458,10.0.1.1,10.0.5.5,51836,9999,198,0,4,235,39.506637913283335,0.0,5.011816,299772,17
56830,10.0.4.4,10.0.5.5,36863,80,3,0,4,235,0.37629586889851924,0.0,7.97245,159,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,1,6,1.1745659489416183,0.0,5.10827,6396,17
51878,10.0.1.1,10.0.5.5,0,0,32,0,3,276,6.115764932165655,0.0,5.232379,47080,17
64330,10.0.3.3,10.0.5.5,58176,5001,4,0,3,276,0.6657112600566087,0.0,6.008611,232,17
45458,10.0.1.1,10.0.5.5,51836,9999,240,0,3,276,47.88755045402387,0.0,5.011741,363360,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,1,6,1.1752660557503123,0.0,5.105227,6396,17
51878,10.0.1.1,10.0.5.5,0,0,36,0,5,312,7.145292780356479,0.0,5.038282,49032,17
45458,10.0.1.1,10.0.5.5,51836,9999,263,0,5,312,52.53758534860586,0.0,5.00594,398182,17
56830,10.0.4.4,10.0.5.5,36863,80,3,0,5,312,0.37245644835711317,0.0,8.054633,159,17
64330,10.0.3.3,10.0.5.5,58176,5001,4,0,5,312,0.6636417873996988,0.0,6.027348,232,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,5,312,1.1795786623656608,0.0,5.086562,6396,17
51878,10.0.1.1,10.0.5.5,0,0,41,0,3,246,8.121100262509614,0.0,5.048577,62074,17
45458,10.0.1.1,10.0.5.5,51836,9999,202,0,3,246,40.24875323509317,0.0,5.018789,305828,17
56830,10.0.4.4,10.0.5.5,36863,80,3,0,3,246,0.5889086129651372,0.0,5.094169,159,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,4,404,1.1710100078418637,0.0,5.123782,6396,17
51878,10.0.1.1,10.0.5.5,0,0,23,0,4,404,4.1352024208553715,0.0,5.562001,33454,17
45458,10.0.1.1,10.0.5.5,51836,9999,194,0,4,404,38.686864134524996,0.0,5.014622,293716,17
64330,10.0.3.3,10.0.5.5,58176,5001,4,0,4,404,0.6632315692921131,0.0,6.031076,232,17
45458,10.0.1.1,10.0.5.5,51836,9999,156,0,4,404,30.853313655775512,0.0,5.056183,236184,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,4,404,1.1620918660735606,0.0,5.163103,6396,17
51878,10.0.1.1,10.0.5.5,0,0,15,0,4,404,2.906259191044692,0.0,5.161274,18606,17
64330,10.0.3.3,10.0.5.5,58176,5001,4,0,5,84,0.6615655551924295,0.0,6.046264,232,17
45458,10.0.1.1,10.0.5.5,51836,9999,67,0,5,84,13.396294584917813,0.0,5.001383,101438,17
56830,10.0.4.4,10.0.5.5,36863,80,3,0,5,84,0.4178296257917871,0.0,7.17996,159,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,5,84,1.171287983405192,0.0,5.122566,6396,17
51878,10.0.1.1,10.0.5.5,0,0,4,0,5,84,0.6920097953986538,0.0,5.780265,6056,17
45458,10.0.1.1,10.0.5.5,51836,9999,192,0,4,223,38.321242183065365,0.0,5.010276,290688,17
64330,10.0.3.3,10.0.5.5,58176,5001,4,0,4,223,0.670319573180715,0.0,5.967303,232,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,4,223,1.1821756287401082,0.0,5.075388,6396,17
51878,10.0.1.1,10.0.5.5,0,0,21,0,4,223,4.104594448477371,0.0,5.116218,31794,17
45458,10.0.1.1,10.0.5.5,51836,9999,241,0,5,282,48.12462720886547,0.0,5.007831,364874,17
56830,10.0.4.4,10.0.5.5,36863,80,3,0,5,282,0.49719515639107914,0.0,6.033848,159,17
51878,10.0.1.1,10.0.5.5,0,0,28,0,5,282,5.418157950140563,0.0,5.167808,41024,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,5,282,1.1807348933333937,0.0,5.081581,6396,17
64330,10.0.3.3,10.0.5.5,58176,5001,4,0,5,282,0.6633094365053674,0.0,6.030368,232,17
45458,10.0.1.1,10.0.5.5,51836,9999,210,0,2,227,41.966594590705796,0.0,5.00398,317940,17
51878,10.0.1.1,10.0.5.5,0,0,17,0,2,227,3.0414566645203527,0.0,5.589427,24370,17
56830,10.0.4.4,10.0.5.5,36863,80,3,0,5,271,0.597004589174277,0.0,5.025087,159,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,5,271,1.164699360036525,0.0,5.151544,6396,17
45458,10.0.1.1,10.0.5.5,51836,9999,230,0,5,271,45.905691347695296,0.0,5.010272,348220,17
64330,10.0.3.3,10.0.5.5,58176,5001,4,0,5,271,0.6657091549987268,0.0,6.00863,232,17
51878,10.0.1.1,10.0.5.5,0,0,28,0,5,271,5.592440139419533,0.0,5.006759,38288,17
45458,10.0.1.1,10.0.5.5,51836,9999,219,0,4,258,43.50581368784281,0.0,5.03381,331566,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,4,258,1.1818368226080656,0.0,5.076843,6396,17
56830,10.0.4.4,10.0.5.5,36863,80,2,0,4,258,0.39565695276093377,0.0,5.054884,106,17
51878,10.0.1.1,10.0.5.5,0,0,31,0,4,258,6.142536570384057,0.0,5.046775,44198,17
45458,10.0.1.1,10.0.5.5,51836,9999,231,0,3,241,46.102042380350234,0.0,5.010624,349734,17
64330,10.0.3.3,10.0.5.5,58176,5001,4,0,3,241,0.6625436574861304,0.0,6.037338,232,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,3,241,1.1760460586678416,0.0,5.101841,6396,17
51878,10.0.1.1,10.0.5.5,0,0,28,0,5,256,5.569515812153758,0.0,5.027367,38288,17
45458,10.0.1.1,10.0.5.5,51836,9999,214,0,5,256,42.717802404613046,0.0,5.009621,323996,17
56830,10.0.4.4,10.0.5.5,36863,80,4,0,5,256,0.49903878891270553,0.0,8.015409,212,17
3399,10.0.2.2,10.0.5.5,41452,5000,6,0,5,256,1.1748081195688376,0.0,5.107217,6396,17
64330,10.0.3.3,10.0.5.5,58176,5001,4,0,5,256,0.6661024778679125,0.0,6.005082,232,17
