flow_id,firstIp,secondIp,firstPort,secondPort,fwd_count,bwd_count,N_IN_Conn_P_DstIP,TnP_PDstIP,Srate,Drate,Dur,Bytes,proto_number
11915,10.0.2.2,10.0.5.5,33479,5000,6,0,3,13,1.1839445282523697,0.0,5.067805,6396,17
48657,10.0.3.3,10.0.5.5,60531,5001,4,0,3,13,0.6651584199494314,0.0,6.013605,220,17
65365,10.0.4.4,10.0.5.5,41764,80,3,0,3,13,0.49653904013376104,0.0,6.041821,159,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.3942410839422058,0.0,5.073038,152,1
11915,10.0.2.2,10.0.5.5,33479,5000,6,0,1,6,1.184453105428763,0.0,5.065629,6396,17
48657,10.0.3.3,10.0.5.5,60531,5001,4,0,3,13,0.6647485347695891,0.0,6.017313,220,17
65365,10.0.4.4,10.0.5.5,41764,80,3,0,3,13,0.49996133632332435,0.0,6.000464,159,17
11915,10.0.2.2,10.0.5.5,33479,5000,6,0,3,13,1.1639381692765718,0.0,5.154913,6396,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.39406809299612927,0.0,5.075265,152,1
48657,10.0.3.3,10.0.5.5,60531,5001,4,0,2,10,0.658466888251749,0.0,6.074717,220,17
11915,10.0.2.2,10.0.5.5,33479,5000,6,0,2,10,1.167915492749386,0.0,5.137358,6396,17
65365,10.0.4.4,10.0.5.5,41764,80,3,0,1,3,0.4993873349712128,0.0,6.007361,159,17
11915,10.0.2.2,10.0.5.5,33479,5000,6,0,2,10,1.1827076317166705,0.0,5.073105,6396,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.3944801185965029,0.0,5.069964,152,1
48657,10.0.3.3,10.0.5.5,60531,5001,4,0,2,10,0.664187476213786,0.0,6.022396,220,17
65365,10.0.4.4,10.0.5.5,41764,80,3,0,3,13,0.4965240831558673,0.0,6.042003,159,17
11915,10.0.2.2,10.0.5.5,33479,5000,6,0,3,13,1.1787705776506279,0.0,5.090049,6396,17
48657,10.0.3.3,10.0.5.5,60531,5001,4,0,3,13,0.6618858650633143,0.0,6.043338,220,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.39525683888204766,0.0,5.060001,152,1
11915,10.0.2.2,10.0.5.5,33479,5000,6,0,2,9,1.1800264011240145,0.0,5.084632,6396,17
65365,10.0.4.4,10.0.5.5,41764,80,3,0,2,9,0.4968357360033507,0.0,6.038213,159,17
48657,10.0.3.3,10.0.5.5,60531,5001,4,0,2,10,0.6640471114863715,0.0,6.023669,220,17
11915,10.0.2.2,10.0.5.5,33479,5000,6,0,2,10,1.1736405037421527,0.0,5.112298,6396,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.3960608579193062,0.0,5.049729,152,1
65365,10.0.4.4,10.0.5.5,41764,80,3,0,1,3,0.495629293078983,0.0,6.052911,159,17
11915,10.0.2.2,10.0.5.5,33479,5000,6,0,2,10,1.1729776448055564,0.0,5.115187,6396,17
48657,10.0.3.3,10.0.5.5,60531,5001,4,0,2,10,0.6614212653220303,0.0,6.047583,220,17
11915,10.0.2.2,10.0.5.5,33479,5000,6,0,3,13,1.1816320031636227,0.0,5.077723,6396,17
49617,10.0.5.5,10.0.7.7,0,0,2,0,1,2,0.39456152180800713,0.0,5.068918,152,1
65365,10.0.4.4,10.0.5.5,41764,80,3,0,3,13,0.496453008736911,0.0,6.042868,159,17
