flow_id,fwd_count,bwd_count,duration,packet_size_sum,min_packet_size,max_packet_size,iat_sum,iat_sum_square,min_iat,max_iat
48500,5,0,5639637,6252,1042,1042,5639637,6361250351263,1121069,1132939
36423,2,0,6043691,174,58,58,6043691,18263100704501,3021490,3022201
40790,2,0,9032486,159,53,53,9032486,41285181701348,4020118,5012368
48500,5,0,5625388,6252,1042,1042,5625388,6329058980578,1120396,1130470
36423,2,0,6065848,174,58,58,6065848,18397343099552,3026324,3039524
48500,5,0,5649762,6252,1042,1042,5649762,6384559970274,1115238,1146177
40790,1,0,5034059,106,53,53,5034059,25341750015481,5034059,5034059
48500,5,0,5611754,6252,1042,1042,5611754,6300313728880,1107213,1161083
36423,2,0,6054968,174,58,58,6054968,18331592286562,3015789,3039179
40790,2,0,6041208,159,53,53,6041208,20280479073570,2012541,4028667
48500,5,0,5598674,6252,1042,1042,5598674,6269508508848,1110454,1136691
36423,2,0,6048072,174,58,58,6048072,18289633500200,3019238,3028834
40790,1,0,5052979,106,53,53,5052979,25532596774441,5052979,5052979
48500,5,0,5603197,6252,1042,1042,5603197,6279274432215,1114393,1126827
