flow_id,switch_name,controller_name,firstIp,secondIp,firstPort,secondPort,fwd_count,bwd_count,Srate,Drate,Dur,Bytes,proto_number,N_Conn_P_FirstIP,N_Conn_P_SecondIP,Avg_Packet_Size
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6618412921127546,0.0,6.043745,208,17,1,4,51.99998700000325
14369,s2,C1_Sanayi,10.0.2.19,10.0.5.12,47984,5002,4,2,0.638814768630873,0.3194073843154365,6.261596,404,6,1,4,67.33332211111298
63755,s2,C1_Sanayi,10.0.2.15,10.0.5.11,46130,80,1,0,0.0,0.0,0.0,54,6,1,1,53.999946000054
14369,s2,C1_Sanayi,10.0.2.19,10.0.5.12,47984,5002,0,1,0.0,0.0,0.0,54,6,1,4,53.999946000054
2660,s2,C1_Sanayi,10.0.2.4,10.0.5.12,34822,5201,6,5,1.1608191049156045,0.9673492540963371,5.168764,803,6,1,4,72.99999336363697
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.1849068929786168,0.0,5.063689,270,17,1,4,44.99999250000125
2660,s2,C1_Sanayi,10.0.2.4,10.0.5.12,34822,5201,0,1,0.0,0.0,0.0,67,6,1,2,66.999933000067
9391,s2,C1_Sanayi,10.0.2.4,10.0.5.12,48349,5201,1,0,0.0,0.0,0.0,46,17,1,2,45.999954000046
57863,s1,C1_Sanayi,10.0.1.3,10.0.5.11,0,0,1,0,0.0,0.0,0.0,98,1,1,1,97.999902000098
7825,s1,C1_Sanayi,10.0.1.2,10.0.5.12,48133,5001,4,0,0.6640267177790166,0.0,6.023854,208,17,1,2,51.99998700000325
46427,s1,C1_Sanayi,10.0.1.1,10.0.5.12,56116,5000,6,0,1.179041360770936,0.0,5.08888,270,17,1,1,44.99999250000125
57863,s1,C1_Sanayi,10.0.1.3,10.0.5.11,0,0,1,1,0.19945624239199095,0.19945624239199095,5.013631,196,1,1,1,97.9999510000245
