flow_id,switch_name,controller_name,firstIp,secondIp,firstPort,secondPort,first_count,second_count,first_rate,second_rate,Dur,Bytes,proto_number,N_Conn_P_FirstIP,N_Conn_P_SecondIP,Avg_Packet_Size,N_PortP_FirstIp,N_PortP_SecondIp
4532,cs5,C5,10.0.8.2,10.0.9.1,0,0,1,1,0.19976846834518794,0.19976846834518794,5.005795,196,1,1,16,97.9999510000245,1,11
34595,s9,C5,10.0.5.3,10.0.9.1,56638,8080,9,5,1.760958838174144,0.9783104656523022,5.110852,2728,6,1,16,194.85712893877653,1,11
7748,s9,C5,10.0.8.1,10.0.9.1,0,0,1,1,0.04626745624856802,0.04626745624856802,21.613464,196,1,1,16,97.9999510000245,1,11
35406,s9,C5,10.0.6.4,10.0.9.1,56622,5029,69,49,13.707049754206773,9.733991854436693,5.033906,100505,6,1,16,851.7372809174807,1,11
65,s9,C5,10.0.9.1,10.0.9.3,0,0,4,0,0.2627907829286377,0.0,15.221234,296,1,16,1,73.99998150000462,13,5
41992,s9,C5,10.0.3.4,10.0.9.1,45436,8080,3,1,0.07453961908714161,0.02484653969571387,40.247053,311,6,1,16,77.74998056250486,1,11
19193,s9,C5,10.0.7.5,10.0.9.1,41606,8080,8,5,1.4378359705940977,0.898647481621311,5.563917,2631,6,1,16,202.38459981656925,1,11
34564,cs5,C5,10.0.3.1,10.0.9.1,42472,8080,11,8,2.1329738561394453,1.5512537135559603,5.157119,5278,6,1,16,277.7894590637127,1,11
62417,s9,C5,10.0.9.1,10.0.9.3,41538,51922,0,1,0.0,0.0,0.0,46,17,16,1,45.999954000046,13,5
35406,s9,C5,10.0.6.4,10.0.9.1,56622,5029,1,0,0.0,0.0,0.0,1514,6,1,16,1513.998486001514,1,11
41992,s9,C5,10.0.3.4,10.0.9.1,45436,8080,0,1,0.0,0.0,0.0,66,6,1,16,65.999934000066,1,11
16531,s9,C5,10.0.4.2,10.0.9.2,35447,5017,1,0,0.0,0.0,0.0,46,17,1,7,45.999954000046,1,9
38970,s9,C5,10.0.9.1,10.0.9.3,11301,51522,0,1,0.0,0.0,0.0,46,17,16,1,45.999954000046,13,5
47778,cs5,C5,10.0.1.4,10.0.9.2,55260,5001,4,0,0.6309956417131026,0.0,6.339188,1528,17,1,7,381.9999045000239,2,9
34564,s9,C5,10.0.3.1,10.0.9.1,42472,8080,10,8,1.8151946678293593,1.4521557342634874,5.509051,5181,6,1,16,287.8333173425935,1,11
42153,cs5,C5,10.0.7.2,10.0.9.1,38338,8080,4,1,0.0954400031094353,0.023860000777358826,41.911147,385,6,1,16,76.99998460000307,1,11
4532,s9,C5,10.0.8.2,10.0.9.1,0,0,1,1,0.18230852545765366,0.18230852545765366,5.485207,196,1,1,16,97.9999510000245,1,11
47778,s9,C5,10.0.1.4,10.0.9.2,55260,5001,3,0,0.5521529640399339,0.0,5.433277,450,17,1,7,149.99995000001667,2,9
42153,s9,C5,10.0.7.2,10.0.9.1,38338,8080,3,1,0.07314548581049501,0.02438182860349834,41.014151,311,6,1,16,77.74998056250486,1,11
41338,s9,C5,10.0.1.4,10.0.9.2,0,0,0,3,0.0,0.5525357430767732,5.429513,534,1,1,7,177.99994066668643,2,9
41338,cs5,C5,10.0.1.4,10.0.9.2,0,0,0,3,0.0,0.5444457369989534,5.510191,534,1,1,7,177.99994066668643,2,9
27239,cs5,C5,10.0.4.4,10.0.9.2,44750,5019,12,7,0.2722684199966361,0.15882324499803774,44.074153,1473,6,1,7,77.52631170914148,1,9
19199,cs5,C5,10.0.4.3,10.0.9.2,52083,5018,1,0,0.0,0.0,0.0,46,17,1,7,45.999954000046,1,9
42153,cs5,C5,10.0.7.2,10.0.9.1,38338,8080,1,0,0.0,0.0,0.0,97,6,1,16,96.999903000097,1,11
34564,cs5,C5,10.0.3.1,10.0.9.1,42472,8080,0,1,0.0,0.0,0.0,618,6,1,16,617.9993820006181,1,11
61417,cs5,C5,10.0.1.3,10.0.9.2,41263,5001,1,0,0.0,0.0,0.0,182,17,1,7,181.99981800018202,1,9
19193,s9,C5,10.0.7.5,10.0.9.1,41606,8080,1,0,0.0,0.0,0.0,97,6,1,16,96.999903000097,1,11
19199,s9,C5,10.0.4.3,10.0.9.2,52083,5018,1,0,0.0,0.0,0.0,46,17,1,7,45.999954000046,1,9
34564,s9,C5,10.0.3.1,10.0.9.1,42472,8080,1,0,0.0,0.0,0.0,97,6,1,16,96.999903000097,1,11
42153,s9,C5,10.0.7.2,10.0.9.1,38338,8080,0,1,0.0,0.0,0.0,66,6,1,16,65.999934000066,1,11
44721,s9,C5,10.0.9.1,10.0.9.3,13619,41144,0,1,0.0,0.0,0.0,46,17,16,1,45.999954000046,13,5
61417,s9,C5,10.0.1.3,10.0.9.2,41263,5001,2,0,0.05064485716795529,0.0,39.490683,492,17,1,7,245.99987700006147,1,9
27239,s9,C5,10.0.4.4,10.0.9.2,44750,5019,10,7,0.2354910213867294,0.16484371497071057,42.464464,1325,6,1,7,77.94117188581342,1,9
34953,cs5,C5,10.0.4.3,10.0.9.2,51798,5018,9,8,1.74581107181743,1.5518320638377154,5.155197,1332,6,1,7,78.35293656747432,1,9
37381,cs5,C5,10.0.6.3,10.0.9.1,49570,5028,21,14,4.191619276418728,2.7944128509458186,5.009997,25555,6,1,16,730.1428362816333,1,11
34953,s9,C5,10.0.4.3,10.0.9.2,51798,5018,9,8,1.7544550487173178,1.5595155988598381,5.129798,1332,6,1,7,78.35293656747432,1,9
37381,s9,C5,10.0.6.3,10.0.9.1,49570,5028,20,16,3.997586257417771,3.198069005934217,5.003019,24173,6,1,16,671.4722035702166,1,11
40055,cs5,C5,10.0.3.3,10.0.9.1,52018,8080,11,11,2.0473896247600134,2.0473896247600134,5.372695,4477,6,1,16,203.49999075000042,1,11
47506,s9,C5,10.0.9.1,10.0.9.3,11998,55934,0,1,0.0,0.0,0.0,46,17,16,1,45.999954000046,13,5
27239,s9,C5,10.0.4.4,10.0.9.2,44750,5019,0,1,0.0,0.0,0.0,67,6,1,7,66.999933000067,1,9
37381,s9,C5,10.0.6.3,10.0.9.1,49570,5028,0,1,0.0,0.0,0.0,66,6,1,16,65.999934000066,1,11
34953,s9,C5,10.0.4.3,10.0.9.2,51798,5018,1,0,0.0,0.0,0.0,66,6,1,7,65.999934000066,1,9
40055,s9,C5,10.0.3.3,10.0.9.1,52018,8080,10,12,1.6893136048533304,2.0271763258239965,5.919564,4998,6,1,16,227.18180785537237,1,11
46912,s9,C5,10.0.9.1,10.0.9.4,0,0,7,0,0.3881111357346065,0.0,18.036071,518,1,16,1,73.99998942857293,13,5
34953,cs5,C5,10.0.4.3,10.0.9.2,51798,5018,1,0,0.0,0.0,0.0,66,6,1,7,65.999934000066,1,9
